date,title,url,source,location,latitude,longitude,cluster
2025-11-19 18:45:00,,https://www.dailysignal.com/2025/11/19/local-climate-lawfare-is-undermining-us-foreign-policy-and-national-security/,dailysignal.com,American,39.828175,-98.5795,6
2025-11-18 20:45:00,,https://thenewamerican.com/world-news/un/climate-conference/us-should-nationalize-ports-policy-to-avoid-competition/,thenewamerican.com,American,39.828175,-98.5795,6
2025-11-18 02:45:00,"John Braun Commentary Clarity On Climate Policy Cost Comes Too Late For Our State,391252","http://www.chronline.com/stories/john-braun-commentary-clarity-on-climate-policy-cost-comes-too-late-for-our-state,391252",chronline.com,"Washington, United States",47.3917,-121.571,3
2025-11-18 01:45:00,"John Braun Commentary Clarity On Climate Policy Cost Comes Too Late For Our State,391252","http://www.thereflector.com/stories/john-braun-commentary-clarity-on-climate-policy-cost-comes-too-late-for-our-state,391252",thereflector.com,"Seattle, Washington, United States",47.6062,-122.332,3
2025-11-17 06:00:00,Pyent4Mv2,https://www.sbs.com.au/news/podcast-episode/anthony-albanese-dismisses-the-coalitions-climate-policy-evening-news-bulletin-17-november-2025/pyent4mv2,sbs.com.au,United States,39.828175,-98.5795,4
2025-11-16 01:45:00,Qdvnpok7Q,https://www.sbs.com.au/news/podcast-episode/coalition-attempts-to-present-united-front-on-climate-policy-midday-news-bulletin-16-november-2025/qdvnpok7q,sbs.com.au,"Hollywood, California, United States",34.0983,-118.327,7
2025-11-15 13:30:00,Article Eeb32578 A40C 4612 Bed4 8233A2F8Be68,https://www.herald-dispatch.com/opinion/bjorn-lomborg-climate-policy-must-refocus-on-improving-human-welfare-opinion/article_eeb32578-a40c-4612-bed4-8233a2f8be68.html,herald-dispatch.com,"Delaware, United States",39.3498,-75.5148,2
2025-11-14 12:15:00,,https://www.elciudadano.com/en/chiles-pavilion-at-cop30-faces-backlash-over-corporate-funding-and-climate-policy-capture-by-companies/11/14/,elciudadano.com,American,39.828175,-98.5795,6
2025-11-14 02:15:00,,https://governorswindenergycoalition.org/rggi-exit-ends-pennsylvanias-only-major-climate-policy/,governorswindenergycoalition.org,"Virginia, United States",37.768,-78.2057,6
2025-11-14 01:45:00,2Poqb97W9,https://www.sbs.com.au/news/podcast-episode/opposition-leader-sussan-ley-defends-her-new-climate-policy-midday-news-bulletin-14-november-2025/2poqb97w9,sbs.com.au,"Washington, Washington, United States",38.8951,-77.0364,0
2025-11-14 01:30:00,Article 90A61Dac 60C1 43Ca 8797 B81488Cfc3F1,https://www.postandcourier.com/opinion/commentary/commentary-refocus-climate-policy-on-truly-improving-human-lives/article_90a61dac-60c1-43ca-8797-b81488cfc3f1.html,postandcourier.com,"Delaware, United States",39.3498,-75.5148,2
2025-11-13 18:15:00,Cop30 Brazilian Meat Giant Jbs Recommends Climate Policy,https://www.sej.org/headlines/cop30-brazilian-meat-giant-jbs-recommends-climate-policy,sej.org,"Washington, Washington, United States",38.8951,-77.0364,5
2025-11-13 14:15:00,,https://www.eenews.net/articles/rggi-exit-ends-pennsylvanias-only-major-climate-policy/,eenews.net,"Virginia, United States",37.768,-78.2057,6
2025-11-12 21:45:00,,https://climatechangedispatch.com/newsom-slams-trump-us-climate-policy-cop30/,climatechangedispatch.com,United States,39.828175,-98.5795,6
2025-11-12 19:15:00,,https://thehill.com/opinion/energy-environment/5600496-gates-memo-climate-policy/,thehill.com,"Nile, New York, United States",42.1781,-78.1456,6
2025-11-12 17:15:00,,https://www.washingtonexaminer.com/policy/energy-and-environment/3884001/gavin-newsom-us-dumb-climate-policy-cop30-brazil/,washingtonexaminer.com,United States,39.828175,-98.5795,6
2025-11-12 15:30:00,,https://www.staradvertiser.com/2025/11/12/breaking-news/newsom-slams-trumps-dumb-u-s-climate-policy-at-cop30/,staradvertiser.com,America,39.828175,-98.5795,6
2025-11-12 14:00:00,,https://www.breitbart.com/environment/2025/11/12/newsom-flies-5000-miles-to-lash-trump-for-dumb-u-s-climate-policy/,breitbart.com,"California, United States",36.17,-119.746,6
2025-11-12 10:00:00,,https://www.rappler.com/world/global-affairs/cop30-california-governor-newsom-blasts-trump-dumb-climate-policy/,rappler.com,United States,39.828175,-98.5795,6
2025-11-12 09:00:00,Newsom Blasts Trump Dumb Us Climate Policy Rcna243393,https://www.nbcnews.com/world/south-america/newsom-blasts-trump-dumb-us-climate-policy-rcna243393,nbcnews.com,"Washington, Washington, United States",38.8951,-77.0364,1
2025-11-12 07:45:00,,https://www.stabroeknews.com/2025/11/12/news/world/at-cop30-california-governor-newsom-blasts-trump-for-dumb-us-climate-policy/,stabroeknews.com,"White House, District Of Columbia, United States",38.8951,-77.0364,6
2025-11-12 06:30:00,,https://www.channelafrica.co.za/channelafrica/news/californias-newsom-blasts-trumps-dumb-climate-policy-at-cop30/,channelafrica.co.za,"California, United States",36.17,-119.746,6
2025-11-12 03:15:00,Cop30 California Governor Newsom Blasts Trump Dumb Us Climate Policy,https://www.asiaone.com:443/world/cop30-california-governor-newsom-blasts-trump-dumb-us-climate-policy,asiaone.com,"California, United States",36.17,-119.746,1
2025-11-12 02:00:00,Cop30 California Governor Newsom Blasts Trump Dumb Us Climate Policy,https://www.asiaone.com/world/cop30-california-governor-newsom-blasts-trump-dumb-us-climate-policy,asiaone.com,"California, United States",36.17,-119.746,1
2025-11-12 00:15:00,A642113951,https://www.independent.ie/world-news/cop30-demonstrators-break-into-venue-and-clash-with-security-gavin-newsom-blasts-donald-trump-for-dumb-us-climate-policy/a642113951.html,independent.ie,United States,39.828175,-98.5795,0
